weight,height,size
82,155,L
104,194,XXXL
85,155,L
87,171,XL
56,159,S
117,192,XXXL
101,193,XXXL
113,196,XXXL
107,197,XXXL
73,165,M
59,158,S
74,162,M
76,156,L
73,156,M
56,165,S
103,195,XXXL
58,159,S
104,196,XXXL
0,0,XXS
106,192,XXXL
67,164,M
102,199,XXXL
90,177,XL
92,168,XL
0,0,XXS
0,0,XXS
97,183,XXL
94,171,XXL
76,162,L
113,192,XXXL
0,0,XXS
81,158,L
0,0,XXS
69,158,M
56,155,S
91,176,XL
109,195,XXXL
118,200,XXXL
111,192,XXXL
74,158,M
97,189,XXL
86,183,XL
69,164,M
0,0,XXS
55,157,S
57,165,S
88,175,XL
107,193,XXXL
103,194,XXXL
86,174,XL
88,180,XL
73,163,M
77,156,L
70,164,M
114,196,XXXL
116,197,XXXL
87,165,XL
109,191,XXXL
89,167,XL
91,156,XL
109,194,XXXL
100,174,XXL
98,188,XXL
58,155,S
117,195,XXXL
88,190,XL
87,178,XL
86,158,XL
120,196,XXXL
71,159,M
88,172,XL
57,159,S
89,169,XL
75,162,M
0,0,XXS
81,161,L
0,0,XXS
84,160,L
55,162,S
91,158,XL
119,192,XXXL
88,189,XL
71,165,M
96,172,XXL
112,193,XXXL
66,163,M
71,161,M
87,190,XL
58,156,S
77,158,L
113,200,XXXL
76,164,L
0,0,XXS
110,193,XXXL
58,159,S
0,0,XXS
59,159,S
91,179,XL
55,164,S
92,160,XL
82,157,L
84,155,L
109,191,XXXL
85,155,L
92,171,XL
73,160,M
59,157,S
106,193,XXXL
55,160,S
84,161,L
113,194,XXXL
100,183,XXL
87,170,XL
91,166,XL
91,190,XL
70,165,M
119,196,XXXL
0,0,XXS
81,159,L
60,159,S
90,159,XL
73,160,M
75,161,M
86,170,XL
57,165,S
111,198,XXXL
87,168,XL
0,0,XXS
60,160,S
66,158,M
91,174,XL
80,158,L
88,182,XL
104,192,XXXL
66,155,M
81,161,L
86,166,XL
99,180,XXL
68,155,M
0,0,XXS
56,165,S
78,161,L
80,158,L
69,162,M
115,195,XXXL
119,197,XXXL
71,163,M
0,0,XXS
91,183,XL
77,158,L
86,177,XL
0,0,XXS
84,164,L
0,0,XXS
117,195,XXXL
69,158,M
119,195,XXXL
68,158,M
0,0,XXS
72,165,M
56,163,S
55,155,S
74,157,M
55,157,S
66,162,M
87,158,XL
68,160,M
89,160,XL
55,163,S
60,157,S
68,161,M
70,158,M
56,165,S
59,162,S
105,197,XXXL
66,162,M
119,196,XXXL
55,157,S
80,165,L
113,198,XXXL
117,199,XXXL
66,155,M
104,191,XXXL
76,161,L
74,160,M
73,157,M
89,178,XL
71,162,M
70,162,M
55,155,S
75,155,M
0,0,XXS
84,156,L
85,160,L
60,160,S
0,0,XXS
109,198,XXXL
118,198,XXXL
105,191,XXXL
95,179,XXL
56,163,S
72,163,M
79,155,L
71,158,M
57,165,S
76,156,L
87,162,XL
74,158,M
0,0,XXS
112,197,XXXL
56,159,S
57,159,S
55,155,S
60,159,S
71,157,M
71,163,M
67,161,M
100,173,XXL
58,156,S
95,178,XXL
113,200,XXXL
116,196,XXXL
85,163,L
0,0,XXS
103,199,XXXL
97,185,XXL
112,199,XXXL
55,155,S
0,0,XXS
97,181,XXL
79,160,L
0,0,XXS
70,159,M
77,160,L
89,174,XL
96,176,XXL
85,160,L
112,191,XXXL
83,157,L
86,187,XL
58,163,S
91,185,XL
95,184,XXL
111,200,XXXL
119,192,XXXL
59,155,S
96,179,XXL
71,160,M
0,0,XXS
93,178,XXL
83,162,L
100,183,XXL
103,192,XXXL
73,157,M
0,0,XXS
103,194,XXXL
90,157,XL
84,160,L
89,178,XL
59,155,S
73,158,M
113,196,XXXL
106,192,XXXL
88,172,XL
69,162,M
113,192,XXXL
82,157,L
0,0,XXS
0,0,XXS
69,156,M
69,162,M
71,157,M
82,159,L
67,158,M
73,160,M
119,197,XXXL
107,196,XXXL
100,187,XXL
59,159,S
77,160,L
90,168,XL
59,163,S
78,162,L
68,158,M
69,164,M
98,182,XXL
58,157,S
55,162,S
78,158,L
75,157,M
57,165,S
70,164,M
114,193,XXXL
94,186,XXL
92,184,XL
87,189,XL
69,165,M
79,162,L
0,0,XXS
57,159,S
117,200,XXXL
70,159,M
75,156,M
91,174,XL
109,194,XXXL
72,158,M
107,195,XXXL
75,158,M
55,160,S
68,162,M
60,158,S
55,158,S
57,165,S
112,198,XXXL
55,155,S
66,155,M
91,160,XL
76,156,L
57,159,S
71,164,M
78,162,L
114,197,XXXL
72,163,M
70,163,M
111,199,XXXL
83,161,L
83,157,L
84,161,L
86,182,XL
89,160,XL
58,162,S
85,164,L
0,0,XXS
0,0,XXS
120,194,XXXL
117,195,XXXL
83,165,L
72,165,M
112,192,XXXL
66,161,M
86,178,XL
82,157,L
111,195,XXXL
0,0,XXS
57,162,S
76,155,L
71,164,M
59,165,S
70,159,M
68,160,M
72,164,M
88,184,XL
0,0,XXS
56,159,S
82,158,L
77,159,L
94,185,XXL
105,195,XXXL
103,194,XXXL
87,160,XL
95,185,XXL
91,182,XL
56,157,S
58,156,S
93,187,XXL
60,160,S
104,191,XXXL
91,172,XL
72,165,M
72,163,M
98,179,XXL
113,195,XXXL
70,160,M
68,161,M
74,161,M
71,163,M
116,200,XXXL
88,179,XL
95,170,XXL
0,0,XXS
74,155,M
95,174,XXL
68,155,M
66,158,M
101,196,XXXL
91,187,XL
74,165,M
55,162,S
75,160,M
55,160,S
88,164,XL
0,0,XXS
90,190,XL
68,157,M
72,164,M
92,174,XL
58,162,S
68,156,M
76,155,L
82,161,L
83,164,L
89,170,XL
108,197,XXXL
97,188,XXL
86,188,XL
112,198,XXXL
68,165,M
0,0,XXS
67,156,M
57,157,S
97,178,XXL
99,178,XXL
59,155,S
115,192,XXXL
120,193,XXXL
106,200,XXXL
74,164,M
77,161,L
56,165,S
67,164,M
117,196,XXXL
55,163,S
88,160,XL
88,190,XL
101,198,XXXL
55,165,S
77,158,L
104,195,XXXL
81,165,L
80,155,L
74,159,M
59,161,S
88,167,XL
88,156,XL
66,157,M
108,194,XXXL
69,157,M
58,164,S
91,188,XL
59,155,S
112,197,XXXL
66,161,M
92,164,XL
101,197,XXXL
105,194,XXXL
57,157,S
101,200,XXXL
105,198,XXXL
79,161,L
74,159,M
92,155,XL
70,164,M
107,193,XXXL
60,158,S
106,192,XXXL
70,155,M
91,161,XL
108,200,XXXL
114,198,XXXL
102,200,XXXL
74,158,M
112,193,XXXL
90,167,XL
120,196,XXXL
60,158,S
60,159,S
79,158,L
89,165,XL
86,174,XL
86,176,XL
60,159,S
93,182,XXL
94,177,XXL
93,183,XXL
118,199,XXXL
56,162,S
106,194,XXXL
78,162,L
103,200,XXXL
89,164,XL
55,159,S
71,155,M
60,160,S
79,163,L
0,0,XXS
89,165,XL
0,0,XXS
88,165,XL
68,161,M
104,194,XXXL
0,0,XXS
58,162,S
77,159,L
92,155,XL
70,155,M
0,0,XXS
71,156,M
82,159,L
58,160,S
79,155,L
0,0,XXS
0,0,XXS
57,159,S
88,167,XL
89,161,XL
58,155,S
87,184,XL
85,164,L
86,171,XL
60,165,S
0,0,XXS
71,165,M
69,160,M
73,159,M
59,161,S
103,200,XXXL
102,195,XXXL
91,171,XL
107,192,XXXL
73,156,M
0,0,XXS
74,156,M
67,156,M
0,0,XXS
96,181,XXL
0,0,XXS
74,162,M
60,162,S
111,197,XXXL
60,157,S
88,170,XL
100,189,XXL
96,184,XXL
86,178,XL
115,199,XXXL
71,164,M
56,164,S
72,163,M
117,200,XXXL
99,180,XXL
74,156,M
77,165,L
87,167,XL
93,184,XXL
109,192,XXXL
69,158,M
100,178,XXL
71,158,M
58,164,S
56,165,S
0,0,XXS
72,160,M
81,161,L
70,159,M
80,155,L
